question,answer
What is the return policy of the products?,You can return products within 30 days of delivery.
How can I initiate a return?,You can initiate a return from the 'My Orders' section on our website or app.
Do I need to pay for return shipping?,"No, return shipping is free for eligible items."
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Can I exchange a product instead of returning it?,"Yes, exchanges are available for select items and sizes."
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
Can I cancel my order after placing it?,You can cancel your order within 1 hour of placing it.
Can I modify my order after placing it?,Order modifications are allowed only before shipment.
Do I get a confirmation when my order is cancelled?,"Yes, you will receive a confirmation email once your order is cancelled."
Will I get a full refund if I cancel my order?,"Yes, full refunds are issued for cancellations made before shipment."
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
Is cash on delivery available for all orders?,"Cash on delivery is available on most orders, depending on your location."
Do I get discount with the HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
Are EMI options available?,"Yes, EMI options are available on select credit cards for orders above ₹3,000."
Can I use multiple promo codes in one order?,"No, only one promo code can be applied per order."
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
Why is my payment failing?,Please ensure correct details and sufficient balance or try a different payment method.
Can I pay using Paytm or PhonePe?,"Yes, we accept payments through Paytm, PhonePe, and other major wallets."
Are there any hidden charges?,"No, all prices are inclusive of applicable taxes and fees."
Do you provide GST invoices?,"Yes, GST invoices are available for all eligible purchases."
How can I track my order?,You can track your order using the tracking link sent to your email.
How long does delivery take?,Delivery usually takes 3-7 business days depending on your location.
Do you offer express delivery?,"Yes, express delivery is available in select cities."
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
How can I change my delivery address?,You can change your address before the order is shipped.
Can I schedule delivery for a specific date?,Scheduled delivery is available for select items at checkout.
What happens if I am not available at the time of delivery?,Our delivery partner will attempt delivery again or contact you to reschedule.
Can someone else receive my order on my behalf?,"Yes, a valid ID proof may be required upon delivery."
What should I do if my order is delayed?,You can check the latest status in your order tracking page or contact support.
What should I do if I receive the wrong item?,Report the issue through 'My Orders' within 48 hours for a replacement or refund.
Do I need an account to place an order?,You can shop as a guest or create an account for a faster checkout experience.
How can I create an account?,Click on 'Sign Up' and fill in the required details to create an account.
I forgot my password. What should I do?,Use the 'Forgot Password' link on the login page to reset your password.
Can I change my registered email address?,You can update your email address in the account settings section.
How can I delete my account?,Contact our customer support to request account deletion.
Is my personal information safe?,"Yes, we use secure encryption to protect your personal information."
How can I subscribe to your newsletter?,Enter your email in the subscription box at the bottom of our website.
Can I unsubscribe from promotional emails?,"Yes, click the 'Unsubscribe' link in any promotional email."
Do you store my payment information?,We do not store any sensitive payment data for your safety.
How can I update my phone number?,You can update your phone number from the account settings section.
How can I check if a product is in stock?,Stock availability is displayed on each product page.
Do you provide product warranties?,"Yes, warranty details are mentioned on eligible product pages."
Can I get more information about a product?,You can view full product details and specifications on the product page.
Do you sell refurbished products?,"Yes, refurbished items are clearly labeled as such on the website."
Are all products original?,"Yes, we sell 100% genuine and brand-authorized products."
How can I check product reviews?,You can view customer reviews on the product page.
Do you restock sold-out items?,"Yes, popular items are restocked based on availability."
Can I pre-order upcoming products?,"Yes, pre-orders are available for select items before official launch."
How accurate are product images?,Product images are for reference and may vary slightly from the actual item.
Can I get gift wrapping for my order?,"Yes, gift wrapping is available for select items during checkout."
Are there any ongoing sales or promotions?,"Yes, check our 'Deals' section for ongoing sales and discounts."
How can I find out about upcoming sales?,Subscribe to our newsletter or follow us on social media for updates.
Do you offer student discounts?,"Yes, students can enjoy exclusive discounts by verifying their student status."
Do you have a referral program?,"Yes, refer your friends and earn rewards on their first purchase."
Can I earn loyalty points on my purchase?,"Yes, you earn loyalty points on every eligible purchase."
How can I redeem my loyalty points?,You can redeem points at checkout for discounts on future orders.
Are discounts applicable on all items?,Some items may be excluded from discounts and promotional offers.
Do you offer cashback offers?,"Yes, cashback offers are available on select payment methods and cards."
Where can I view current offers?,Visit the 'Offers' section on our homepage for the latest deals.
Can I use a coupon and gift card together?,"No, you can use either a coupon or a gift card in one transaction."
How can I contact customer support?,"You can reach us via chat, email, or our toll-free number available on the contact page."
What are your customer support hours?,"Our support team is available from 9 AM to 9 PM, Monday to Sunday."
Do you have a chatbot for support?,"Yes, our virtual assistant can help you 24/7 with common queries."
How can I raise a complaint?,You can raise a complaint through the 'Help Center' on our website.
Can I provide feedback about a product?,"Yes, you can leave a review or feedback on the product page."
Do you offer live chat support?,"Yes, live chat support is available during business hours."
How can I check the status of my complaint?,You can view your complaint status under the 'My Tickets' section.
Do you offer warranty support?,"Yes, warranty-related queries are handled by our support team."
Where can I find your return address?,The return address is mentioned in your return confirmation email.
Can I contact the seller directly?,"For security reasons, communication with sellers is managed through our platform."
Do you have a mobile app?,"Yes, our mobile app is available on both Android and iOS platforms."
Can I buy gift cards?,"Yes, you can purchase gift cards from the 'Gift Cards' section on our website."
How do I redeem a gift card?,Enter the gift card code during checkout to redeem it.
Do you offer bulk purchase discounts?,"Yes, bulk purchase discounts are available for select categories."
Can I shop without an internet connection?,"No, an active internet connection is required to browse and shop."
Do you have physical stores?,"Yes, visit the 'Store Locator' section to find our nearest retail outlet."
Are prices the same online and offline?,Prices may vary based on location and current promotions.
Do you sell digital products?,"Yes, digital items like e-books and vouchers are available in select categories."
Can I change my currency on the website?,"Yes, you can change currency settings from the top-right menu."
Is there a minimum order value for free delivery?,Free delivery is available for orders above ₹500.
